File_name,voxel_size,downscaling_factor,Volume_in_voxel,Volume in cm3,Surface_area_in_voxel,Surface_area_in_cm2,Length_of_wormhole,Length_of_wormhole_cm,Tortuosity,Wastefullness
PZ103_01-50.tif,169,1,249754,1.205514854986,149340.6734696746,0.42653189749673764,1430.6985956630929,24.17880626670627,2.055601430550421,12.863397395181835
PZ103_01-49.tif,169,1,246877,1.191628125493,149281.78507607337,0.42636370635577314,1430.5519357504475,24.176327714182563,2.0524418016505703,13.308512666981715
PZ103_01-48.tif,169,1,242483,1.170419126747,147637.98561542213,0.4216688507162072,1431.854873827827,24.19834736769028,2.0661686491022038,12.70908277902504
PZ103_01-47.tif,169,1,239277,1.154944377093,147589.37559002213,0.4215300156226622,1427.5540763448203,24.125663890227464,2.051083443024167,13.139707064078205
PZ103_01-46.tif,169,1,235260,1.13555508534,146456.0037732399,0.4182929923767505,1438.6057385264985,24.312436981097825,2.0699363144266165,12.880024307445277
PZ103_01-45.tif,169,1,231879,1.119235644111,147140.25110590603,0.42024727118357824,1457.2480627867833,24.627492261096638,2.090743275160378,12.852070915173167
PZ103_01-44.tif,169,1,226412,1.0928474793079999,144876.51021158905,0.41378180081531946,1444.3325928229847,24.40922081870844,2.078176392551057,12.723427776356072
PZ103_01-43.tif,169,1,221008,1.066763403472,142785.57512874293,0.4078098811252027,1462.2747719603342,24.71244364612965,2.097955196499762,12.627772314822597
PZ103_01-42.tif,169,1,215250,1.03897063725,141455.19724128558,0.4040101888408358,1471.501783501316,24.86838014117224,2.1111933766159483,12.669031087370884
PZ103_01-41.tif,169,1,208211,1.004994728699,137400.62869433468,0.3924299356138893,1394.0383666827342,23.559248396938212,2.1057981369829823,12.950827238313463
PZ103_01-40.tif,169,1,198433,0.957798190297,130691.80509678173,0.3732688645369183,1335.8563818549153,22.57597285334807,2.1373702109678643,12.776112690259414
PZ103_01-39.tif,169,1,191382,0.923764360038,127560.16245073732,0.36432457997555084,1349.4437295052035,22.80559902863794,2.1556609097527213,12.976539721027036
PZ103_01-38.tif,169,1,184657,0.8913040695129999,123364.03247067219,0.3523400131394868,1332.2866101205025,22.515643711036493,2.187662742398198,12.599741310240136
PZ103_01-37.tif,169,1,176690,0.8528488822100001,118545.39341698331,0.338577498138246,1195.3520778335846,20.201450115387583,2.1773261891322124,13.129466248680517
PZ103_01-36.tif,169,1,168010,0.8109521800899999,113740.38295995699,0.3248539077719332,1191.4155155606686,20.1349222129753,2.190102050662994,13.133241794765793
PZ103_01-35.tif,169,1,159771,0.771184100739,109021.46554655292,0.3113762077475098,1175.7868579172448,19.870797898801438,2.1936321976068,12.885249029106694
PZ103_01-34.tif,169,1,151941,0.733390186269,104238.19549758517,0.29771471016065304,1183.529841649335,20.001654323873762,2.2246801534761933,12.200919905888872
PZ103_01-33.tif,169,1,143727,0.693742777143,98705.47716861086,0.2819127133412695,1069.2324733243302,18.07002879918118,2.2605337702417128,13.16236275918296
